id,专业类别,亚专科,疾病/场景,中文名称,英文名称,输入,输出,量表/方程,评分解读,用途,来源类型,来源/指南,来源链接,获取渠道,真实性层级,常用程度,覆盖说明,临床使用说明,版本/年份,条目来源,来源分组,备注
CALC-0482,护理、安全与功能评估,,Barthel日常生活活动指数,Barthel日常生活活动指数,Barthel Index,进食；洗澡；修饰；穿衣；大便；小便；如厕；转移；行走；上下楼,ADL独立性评分,10项加权0-100,越高生活自理能力越好,公式计算/生理指标,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v2扩展补充,,参考康复医学常用功能量表
CALC-0483,护理、安全与功能评估,,功能独立性评定,功能独立性评定,"Functional Independence Measure, FIM",items,FIM总分,18个已预评分条目各1-7分，总分18-126。,分数越高功能独立性越好。,症状/功能量表,临床量表/患者报告结局工具,Uniform Data System for Medical Rehabilitation FIM,https://www.udsmr.org/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录并已核公式,中：专科门诊、研究或随访常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0484,护理、安全与功能评估,,Berg平衡量表,Berg平衡量表,Berg Balance Scale,items,Berg平衡量表总分和跌倒风险提示,14个预评分项目各0-4分求和，满分56分。,分数越低提示平衡能力越差和跌倒风险越高。,症状/功能量表,康复功能量表/研究工具,Shirley Ryan AbilityLab Berg Balance Scale,https://www.sralab.org/rehabilitation-measures/berg-balance-scale,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0485,护理、安全与功能评估,,6分钟步行距离预测值,6分钟步行距离预测值,Six-Minute Walk Distance Predicted,年龄；性别；身高；体重；实测6MWD,预测值百分比,参考方程与实测比值,用于心肺康复和运动耐量评估,公式计算/生理指标,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v2扩展补充,,参考ATS 6MWT通用指标
CALC-0486,护理、安全与功能评估,,ICU谵妄评估,ICU谵妄评估,CAM-ICU,急性改变或波动；注意障碍；意识水平；思维紊乱,是否谵妄阳性,CAM-ICU算法,阳性提示ICU谵妄，需要临床确认,临床评分/决策支持,网络补充,ICU Delirium CAM-ICU,https://www.icudelirium.org/,专业机构/量表官网/大学或研究工具,C：可追溯外部来源，需确认版本、版权和适用人群,中：专科、研究或随访场景常用，泛临床频率不一,可追溯来源覆盖；适合候选清单，实施前需逐项核原始公式,真实存在且可追溯；是否适合上线取决于授权、验证质量和本地化,,v2扩展补充,,参考 [ICU Delirium CAM-ICU](https://www.icudelirium.org/)
CALC-0487,口腔、牙周与颌面医学,,龋失补指数,龋失补指数,"Decayed, Missing, and Filled Teeth Index, DMFT",decayed_teeth; missing_teeth; filled_teeth,DMFT指数,DMFT = 龋齿数 + 因龋缺失牙数 + 充填牙数。,用于口腔龋病经验/患龋负担统计；数值越高负担越高。,公式计算/生理指标,WHO口腔健康调查方法,WHO Oral Health Surveys: Basic Methods,https://www.who.int/publications/i/item/9789241548649,WHO官方调查方法,A：官方公共卫生来源,高：对应专科真实临床常用或指南推荐,已完成公式级外部来源核对并接入Python实现,用于临床决策支持、教学、筛查或质量评估；不能替代完整指南和临床判断,,外部来源验证,,
CALC-0488,口腔、牙周与颌面医学,,社区牙周指数,社区牙周指数,"Community Periodontal Index, CPI",sextant_codes,CPI最高代码,输入各区段CPI 0-4代码，输出最高代码。,0健康；1出血；2牙石；3牙周袋4-5mm；4牙周袋>=6mm。,公式计算/生理指标,官方指南/专业协会,WHO Oral Health Surveys Community Periodontal Index,https://www.who.int/publications/i/item/9789241548649,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0489,口腔、牙周与颌面医学,,牙周炎分期分级,牙周炎分期分级,Periodontitis Stage and Grade,临床附着丧失；骨丧失；牙缺失；复杂因素；进展证据；风险因素,Stage I-IV；Grade A-C,2017牙周病分类,Stage表严重度和复杂度；Grade表进展风险,分期/分级,网络补充,AAP/EFP classification,https://www.efp.org/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [AAP/EFP classification](https://www.efp.org/)
CALC-0490,口腔、牙周与颌面医学,,牙周炎症表面积,牙周炎症表面积,"Periodontal Inflamed Surface Area, PISA",牙周袋深度；附着丧失；探诊出血；牙位,PISA面积,牙周袋炎症面积模型,面积越大，牙周炎症负荷越高,临床评分/决策支持,研究模型,Periodontal Inflamed Surface Area,https://www.parsprototo.info/,文献研究模型/预测模型,C：研究验证模型，需确认外部验证和适用人群,中：专病或研究场景常用，泛临床频率不一,专病模型覆盖；上线前需评估校准和本地化,真实存在且可能使用；是否适合临床产品取决于验证质量,,v2扩展补充,,参考牙周炎症负荷研究工具
CALC-0491,口腔、牙周与颌面医学,,改良牙科焦虑量表,改良牙科焦虑量表,"Modified Dental Anxiety Scale, MDAS",5个牙科就诊和治疗情景焦虑问题,MDAS总分,5题1-5分，总分5-25,分数越高，牙科焦虑越重,症状/功能量表,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,参考牙科焦虑筛查工具；Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0492,口腔、牙周与颌面医学,,口腔健康影响程度14项,口腔健康影响程度14项,"Oral Health Impact Profile-14, OHIP-14",14项口腔健康对生活质量影响,OHIP-14总分,14题Likert计分,分数越高，口腔健康相关生活质量越差,临床评分/决策支持,临床量表/患者报告结局工具,OHIP-14,https://www.adelaide.edu.au/arcpoh/ohip-14,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考口腔生活质量常用量表
CALC-0493,口腔、牙周与颌面医学,,颞下颌关节功能限制量表,颞下颌关节功能限制量表,"Jaw Functional Limitation Scale, JFLS",咀嚼；张口；语言/表情等功能限制,JFLS分值,条目平均或总分,分数越高，颌功能受限越重,症状/功能量表,临床量表/患者报告结局工具,Jaw Functional Limitation Scale,https://ubwp.buffalo.edu/rdc-tmdinternational/,外部来源公式级核对并接入Python实现,C：标准量表或PRO工具，需确认版权和版本,中：专科门诊、研究或随访常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,参考TMD评估常用量表；Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0494,放射影像与核医学,,乳腺影像报告和数据系统,乳腺影像报告和数据系统,BI-RADS Category,乳腺X线、超声或MRI影像特征,BI-RADS 0-6,ACR BI-RADS分类,类别越高，恶性概率和处理强度越高,分期/分级,网络补充,ACR BI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/Bi-Rads,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [ACR BI-RADS](https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/Bi-Rads)
CALC-0495,放射影像与核医学,,前列腺影像报告和数据系统,前列腺影像报告和数据系统,PI-RADS v2.1,前列腺MRI T2、DWI、DCE特征；病灶位置,PI-RADS 1-5,ACR PI-RADS规则,1很低；5很高临床显著癌可能,分期/分级,网络补充,ACR PI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/PI-RADS,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [ACR PI-RADS](https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/PI-RADS)
CALC-0496,放射影像与核医学,,甲状腺影像报告和数据系统,甲状腺影像报告和数据系统,ACR TI-RADS,结节组成；回声；形态；边缘；强回声灶；大小,TR等级和FNA建议,ACR TI-RADS点数,TR等级越高，恶性风险越高,分期/分级,网络补充,ACR TI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/TI-RADS,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [ACR TI-RADS](https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/TI-RADS)
CALC-0497,放射影像与核医学,,肺结节筛查报告系统,肺结节筛查报告系统,Lung-RADS,低剂量CT肺结节类型、大小、增长和可疑特征,Lung-RADS类别,ACR Lung-RADS规则,类别越高，恶性风险和随访强度越高,分期/分级,网络补充,ACR Lung-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/Lung-Rads,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [ACR Lung-RADS](https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/Lung-Rads)
CALC-0498,放射影像与核医学,,肝脏影像报告系统,肝脏影像报告系统,LI-RADS,高危人群；肝病灶动脉期强化、洗脱、包膜、大小、增长,LI-RADS类别,ACR LI-RADS规则,LR-5高度提示HCC；其他类别需相应管理,分期/分级,网络补充,ACR LI-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/LI-RADS,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [ACR LI-RADS](https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/LI-RADS)
CALC-0499,放射影像与核医学,,卵巢附件影像报告系统,卵巢附件影像报告系统,O-RADS,附件病灶形态、实性成分、乳头状结构、血流、大小,O-RADS风险类别,ACR O-RADS US或MRI规则,类别越高，恶性风险越高,风险预测/预后评估,网络补充,ACR O-RADS,https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/O-Rads,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [ACR O-RADS](https://www.acr.org/Clinical-Resources/Reporting-and-Data-Systems/O-Rads)
CALC-0500,放射影像与核医学,,冠状动脉钙化积分,冠状动脉钙化积分,Agatston Coronary Artery Calcium Score,CT钙化面积；峰值HU；冠脉位置,CAC Agatston分数,面积乘以密度权重后求和,0无钙化；分数越高，冠脉粥样硬化负荷越高,临床评分/决策支持,官方指南/专业协会,SCCT CAC scoring,https://scct.org/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考心血管CT常用评分
CALC-0501,放射影像与核医学,,肾上腺腺瘤洗脱率,肾上腺腺瘤洗脱率,Adrenal Washout Calculation,平扫HU；增强HU；延迟HU,绝对和相对洗脱率,APW=(增强-延迟)/(增强-平扫)；RPW=(增强-延迟)/增强,高洗脱支持腺瘤，阈值依方案,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v2扩展补充,,参考肾上腺CT评估常用公式
CALC-0502,放射影像与核医学,,椎体骨折Genant半定量分级,椎体骨折Genant半定量分级,Genant Semiquantitative Vertebral Fracture Grade,height_loss_percent：椎体高度降低百分比（0-100）,Genant半定量0-3级,<20%为0级；20-24%为1级；25-39%为2级；>=40%为3级,级别越高椎体压缩/骨折程度越重,临床评分/决策支持,影像半定量分级；规则实现,Genant semiquantitative vertebral fracture grade references,https://radiopaedia.org/articles/genant-classification-of-vertebral-fractures,公开影像分级说明,B：公开分级规则/临床常用影像评分,中高：临床常见或教学/决策支持常用,已实现按椎体高度降低百分比分级；不替代完整影像判读,用于椎体压缩骨折严重度结构化记录；需结合形态改变和放射科判断,,v2扩展补充,,single-rule implementation from public grading thresholds
CALC-0503,放射影像与核医学,,PET代谢肿瘤体积和总病灶糖酵解,PET代谢肿瘤体积和总病灶糖酵解,MTV and TLG,PET SUV阈值；病灶体积；SUVmean,MTV；TLG,TLG = MTV * SUVmean,用于肿瘤代谢负荷和疗效研究,临床评分/决策支持,官方指南/专业协会,EANM FDG PET/CT guidelines,https://www.eanm.org/publications/guidelines/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考核医学肿瘤PET指标
CALC-0504,儿科亚专科与新生儿,,新生儿急性生理评分围产扩展版,新生儿急性生理评分围产扩展版,SNAPPE-II,平均血压；最低体温；PaO2/FiO2；pH；惊厥；尿量；出生体重；小于胎龄；Apgar,新生儿死亡风险评分,SNAPPE-II模型,分数越高，病情越重,风险预测/预后评估,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,参考新生儿ICU严重度评分；Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0505,儿科亚专科与新生儿,,Silverman-Andersen呼吸窘迫评分,Silverman-Andersen呼吸窘迫评分,Silverman-Andersen Score,胸腹运动；肋间凹陷；剑突凹陷；鼻翼扇动；呻吟,呼吸窘迫严重度0-10,5项0-2分加总,分数越高，新生儿呼吸窘迫越重,临床评分/决策支持,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考新生儿呼吸评估常用评分
CALC-0506,儿科亚专科与新生儿,,Downes儿童呼吸窘迫评分,Downes儿童呼吸窘迫评分,Downes Score,呼吸频率；发绀；空气进入；喘鸣；呻吟,呼吸窘迫评分,5项0-2分加总,分数越高，呼吸窘迫越重,临床评分/决策支持,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,外部来源公式级核对并接入Python实现,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,参考儿科呼吸评估常用评分；Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0507,儿科亚专科与新生儿,,新生儿阿片戒断评分,新生儿阿片戒断评分,Finnegan Neonatal Abstinence Score,中枢神经、代谢、呼吸、胃肠道戒断表现,NAS总分,症状条目加权总分,高分提示戒断症状更重，需按方案处理,症状/功能量表,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v2扩展补充,,参考新生儿戒断综合征常用量表
CALC-0508,儿科亚专科与新生儿,,FLACC儿童疼痛评分,FLACC儿童疼痛评分,Face Legs Activity Cry Consolability Scale,面部；腿部；活动；哭闹；可安慰性,疼痛评分0-10,5项0-2分加总,0无痛；1-3轻；4-6中；7-10重,症状/功能量表,医学计算器平台,QxMD Calculate,https://qxmd.com/calculate/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考儿童疼痛常用量表
CALC-0509,儿科亚专科与新生儿,,儿童创伤评分,儿童创伤评分,Pediatric Trauma Score,weight; airway; systolic_bp; central_nervous_system; open_wound; skeletal_injury，各-1/1/2分,Pediatric Trauma Score -6到12,PTS = 体重 + 气道 + 收缩压 + 中枢神经系统 + 开放伤 + 骨骼损伤六项分数。,<=8提示较高创伤风险/需创伤中心评估。,临床评分/决策支持,医学计算器平台/儿科创伤评分,Pediatric Trauma Score,https://www.mdcalc.com/calc/10240/pediatric-trauma-score-pts,医学计算器平台与儿科创伤评分资料核对,B：临床计算器平台收录并已核公式,中高：临床常见或教学/决策支持常用,已完成公式级外部来源核对并接入Python实现,用于临床决策支持、教学、筛查或质量评估；不能替代完整指南和临床判断,,外部来源验证,,Python实现要求上游输入已按评分表编码为-1/1/2。
CALC-0510,儿科亚专科与新生儿,,Lansky儿童体能状态评分,Lansky儿童体能状态评分,Lansky Play-Performance Scale,score 0-100，10分递增,Lansky儿童体能状态评分,输入Lansky 0-100等级，输出对应儿童游戏/活动功能描述。,分数越高功能状态越好。,临床评分/决策支持,儿科肿瘤/功能状态量表,Lansky Play-Performance Scale,https://www.mdcalc.com/calc/10096/lansky-play-performance-scale-children,医学计算器平台与儿科功能状态量表核对,B：临床计算器平台收录并已核规则,中高：临床常见或教学/决策支持常用,已完成公式级外部来源核对并接入Python实现,用于临床决策支持、教学、筛查或质量评估；不能替代完整指南和临床判断,,外部来源验证,,
CALC-0511,儿科亚专科与新生儿,,儿童肝移植PELD补充分层,儿童肝移植PELD补充分层,PELD Exception Support,年龄；白蛋白；胆红素；INR；生长失败；特殊诊断,儿童肝移植风险说明,PELD及例外情况整理,用于儿科肝移植候选人补充说明,风险预测/预后评估,官方指南/专业协会,OPTN PELD calculator,https://optn.transplant.hrsa.gov/data/allocation-calculators/peld-calculator/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考OPTN儿童肝移植政策
CALC-0512,儿科亚专科与新生儿,,儿童早期预警评分扩展版,儿童早期预警评分扩展版,Bedside Pediatric Early Warning System,age_months; heart_rate_bpm; systolic_bp_mm_hg; capillary_refill_seconds; respiratory_rate_breaths_min; respiratory_effort; oxygen_saturation_percent; oxygen_therapy,Bedside PEWS 0-26,"按年龄分层的心率、收缩压、呼吸频率，加毛细血管再充盈、呼吸功、血氧饱和度和氧疗7项计分。",原始研究中≥8对紧急PICU收治的敏感度82%、特异度93%；低分不能排除恶化。,临床评分/决策支持,开放获取研究,Parshuram et al. Bedside PEWS (2009),https://pmc.ncbi.nlm.nih.gov/articles/PMC2750193/,公开论文完整计分表核对并接入Python实现,A：开放获取评分研究,中高：儿科住院病情恶化预警,已完成7项年龄分层规则和边界测试,用于病情恶化识别支持；不能替代床旁评估、复评和机构升级流程。,2009,v2扩展补充,,"论文年龄段按半开区间实现为0-<3、3-<12、12-<48、48-<144、144-<216月；氧疗输入需按论文计分表预编码为room_air、low(<4 L/min或<50%)、high(≥4 L/min或≥50%)。"
CALC-0513,儿科亚专科与新生儿,,儿童脱水临床评分,儿童脱水临床评分,Clinical Dehydration Scale,一般外观；眼窝；黏膜；泪液,脱水严重度,4项0-2分加总,0无；1-4轻中；5-8重,临床评分/决策支持,医学计算器平台,MDCalc calculator library,https://www.mdcalc.com/,医学计算器平台汇总,B：临床计算器平台收录，需回源核公式,中高：临床常见或教学/决策支持常用,平台级覆盖；适合候选清单，公式需逐项回源验证,多为真实使用的临床决策支持工具，但不能替代原始指南,,v2扩展补充,,参考儿童急性胃肠炎脱水评估
CALC-0514,妇产高危与生殖医学,,Robson剖宫产十组分类,Robson剖宫产十组分类,Robson Ten-Group Classification,parity; previous_cesarean; fetal_presentation; fetal_count; gestational_age_weeks; labor_onset,Robson 1-10组,根据产次、既往剖宫产、胎位、胎数、孕周和临产方式映射WHO Robson十组。,用于剖宫产率质量改进和分层比较。,临床评分/决策支持,官方指南/专业协会分类标准,WHO Robson classification,https://www.who.int/,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0515,妇产高危与生殖医学,,估计胎儿体重Hadlock公式,估计胎儿体重Hadlock公式,Hadlock Estimated Fetal Weight,bpd_cm; hc_cm; ac_cm; fl_cm,Hadlock估计胎儿体重(g),Hadlock四参数公式，使用BPD、HC、AC、FL的对数回归估算胎儿体重。,输出为估计胎儿体重，需结合孕周、生长曲线和超声测量质量解释。,公式计算/生理指标,原始产科超声公式,Hadlock fetal weight model,https://obgyn.utoronto.ca/sites/default/files/Hadlock%20Model%20for%20EFW%20AC-FL-HC%20-%20AJOG%201985.pdf,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,中高：临床常见或教学/决策支持常用,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0516,妇产高危与生殖医学,,胎儿生长百分位,胎儿生长百分位,Fetal Growth Percentile,孕周；估计胎重或腹围；性别可选；参考曲线,胎儿生长百分位,INTERGROWTH、Hadlock或本地曲线,<10百分位常提示小于胎龄儿风险,临床评分/决策支持,网络补充,INTERGROWTH-21st,https://intergrowth21.tghn.org/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考 [INTERGROWTH-21st](https://intergrowth21.tghn.org/)
CALC-0517,妇产高危与生殖医学,,羊水指数,羊水指数,"Amniotic Fluid Index, AFI",quadrant_1_cm; quadrant_2_cm; quadrant_3_cm; quadrant_4_cm,羊水指数(AFI)和羊水量分类,AFI为四个象限最大垂直羊水池深度之和。,<=5 cm提示羊水过少；>=24 cm提示羊水过多；中间范围通常为正常/边界解释。,公式计算/生理指标,产科超声阈值/医学参考,StatPearls Amniotic Fluid Index / Polyhydramnios references,https://www.ncbi.nlm.nih.gov/books/NBK562326/,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0518,妇产高危与生殖医学,,单最大羊水池深度,单最大羊水池深度,Single Deepest Pocket,single_deepest_pocket_cm,单最大羊水池深度和分类,按单个最大垂直羊水池深度阈值分类。,<2 cm提示羊水过少；>=8 cm提示羊水过多；需结合孕周和临床场景。,临床评分/决策支持,产科超声阈值/医学参考,StatPearls Amniotic Fluid Index / Polyhydramnios references,https://www.ncbi.nlm.nih.gov/books/NBK562140/,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0519,妇产高危与生殖医学,,sFlt-1/PlGF子痫前期风险比值,sFlt-1/PlGF子痫前期风险比值,sFlt-1 to PlGF Ratio,sFlt-1；PlGF；孕周；检测平台,比值和风险解释,sFlt-1/PlGF,低比值有助于短期排除，高比值提示风险增加,风险预测/预后评估,官方指南/专业协会,NICE PlGF-based testing guidance,https://www.nice.org.uk/guidance/dg49,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考子痫前期生物标志物研究
CALC-0520,妇产高危与生殖医学,,子痫前期严重特征判断,子痫前期严重特征判断,Preeclampsia Severe Features Checklist,severe_range_blood_pressure_confirmed; platelets_per_microliter; serum_creatinine_mg_dl; creatinine_doubled_from_baseline; liver_transaminases_twice_normal; severe_persistent_ruq_epigastric_pain; pulmonary_edema; new_onset_headache_unresponsive; visual_symptoms,是否存在子痫前期严重特征及触发项,按ACOG严重范围血压、血小板减少、肾功能异常、肝功能/疼痛、肺水肿、神经视觉症状等严重特征逐项判定。,任一严重特征阳性提示需按子痫前期严重特征流程处理。,临床评分/决策支持,ACOG实践公告规则,ACOG Practice Bulletin No. 222 Gestational Hypertension and Preeclampsia,https://www.preeclampsia.org/frontend/assets/img/advocacy_resource/Gestational_Hypertension_and_Preeclampsia_ACOG_Practice_Bulletin%2C_Number_222_1605448006.pdf,外部来源公式级核对并接入Python实现,A：官方/专业协会或原始评分体系来源,高：对应专科真实临床常用或指南推荐,已完成公式/规则级外部来源核对并接入Python实现,用于临床决策支持、教学或质量评估；不能替代完整指南和临床判断,,v2扩展补充,,Python实现采用预编码或预评分输入，未复刻受版权保护的完整问卷题干。
CALC-0521,妇产高危与生殖医学,,早产风险fFN辅助解释,早产风险fFN辅助解释,Fetal Fibronectin Risk Support,孕周；症状；宫颈长度；fFN结果,早产短期风险辅助,fFN结合宫颈长度解释,阴性预测价值常用于短期排除,风险预测/预后评估,官方指南/专业协会,NICE preterm labour diagnostics,https://www.nice.org.uk/,官方指南/专业协会/监管或分期体系,A：官方或专业协会来源,高：对应专科真实临床常用或指南推荐,指南级覆盖；适合做正式模块，但需锁定版本,真实临床使用；实现时需核对最新指南、适用人群和授权,,v2扩展补充,,参考早产风险评估常用策略
